rep_number,start_angle,bottom_angle,end_angle,descent_time,ascent_time,depth,velocity_smoothness,rank
69,127.6,91.2,152.3,1.34,2.78,91,1,2.97
70,142.0,59.2,165.0,2.67,3.45,121,4,4.36
71,130.6,98.3,154.9,0.97,3.23,82,0,2.39
72,137.9,69.4,164.3,1.45,3.67,121,2,3.88
73,126.3,106.5,149.3,0.65,2.45,73,0,2.12
74,143.6,72.9,170.2,2.23,3.78,124,3,4.43
75,135.1,81.1,157.4,1.12,2.98,99,1,3.13
76,140.5,60.8,162.9,2.34,3.56,119,2,4.11
77,129.4,103.6,156.5,0.79,2.67,75,0,2.24
78,142.8,74.7,170.0,1.98,3.45,122,3,4.27
79,127.9,91.3,152.4,1.45,2.89,92,1,3.00
80,141.7,59.4,165.1,2.78,3.89,120,4,4.41
81,131.2,97.4,153.7,0.91,3.12,83,0,2.41
82,138.3,68.3,164.6,1.56,3.45,122,2,3.91
83,125.7,107.5,149.5,0.69,2.34,71,0,2.16
84,144.3,73.4,170.0,2.12,4.01,125,3,4.47
85,135.6,80.4,157.3,1.23,2.76,100,1,3.15
86,140.3,61.3,163.3,2.45,3.78,118,2,4.14
87,129.2,104.5,156.9,0.77,2.56,74,0,2.21
88,143.2,75.1,170.6,1.89,3.56,122,3,4.31
89,127.7,91.1,152.2,1.34,2.78,91,1,2.98
90,141.8,59.3,165.2,2.67,3.45,121,4,4.37
91,130.7,98.2,155.0,0.96,3.23,82,0,2.40
92,138.0,69.3,164.4,1.45,3.67,121,2,3.89
93,126.4,106.3,149.2,0.66,2.45,73,0,2.13
94,143.7,72.8,170.3,2.23,3.78,124,3,4.44
95,135.3,81.2,157.5,1.12,2.98,99,1,3.13
96,140.4,60.6,163.0,2.34,3.56,119,2,4.12
97,129.3,103.7,156.6,0.78,2.67,75,0,2.23
98,142.9,74.6,170.1,1.98,3.45,122,3,4.28
99,128.1,91.4,152.5,1.45,2.89,92,1,3.00
